Beber um copo de água agora | 15 troféus
Fazer uma caminhada leve de 5 minutos | 30 troféus
Levantar e se alongar por 2 minutos | 20 troféus
Respirar profundamente por 1 minuto | 15 troféus
Organizar sua mesa ou espaço de trabalho | 30 troféus
Evitar usar o celular por 30 minutos | 50 troféus
Beber mais um copo de água antes da próxima refeição | 20 troféus
Dar uma volta curta dentro de casa | 30 troféus
Sentar com postura correta por 10 minutos | 30 troféus
Descansar os olhos por 2 minutos (olhar para longe) | 15 troféus
Ouvir uma música relaxante | 15 troféus
Fazer uma pausa consciente e relaxar | 20 troféus
Evitar cafeína por 1 hora | 30 troféus
Comer uma fruta hoje | 30 troféus
Ficar 5 minutos em silêncio sem distrações | 30 troféus
Alongar o pescoço e ombros | 20 troféus
Beber água ao acordar | 15 troféus
Fazer uma pausa de 5 minutos sem telas | 30 troféus
Caminhar enquanto pensa ou reflete | 30 troféus
Evitar redes sociais por 1 hora | 50 troféus
Dormir 30 minutos mais cedo hoje | 50 troféus
Beber água antes de dormir | 15 troféus
Fazer um pequeno alongamento antes de dormir | 30 troféus
Abrir a janela e respirar ar fresco | 20 troféus
Ficar em pé por 5 minutos | 15 troféus
Reduzir o brilho da tela por um tempo | 15 troféus
Evitar distrações durante uma tarefa | 50 troféus
Fazer uma atividade relaxante por 10 minutos | 30 troféus
Agradecer por algo positivo no dia | 20 troféus
Fazer uma pausa e se movimentar agora | 30 troféus
